country,combined_total,hydrological,travel_footprint,Local Residents,Connected Beneficiaries,multiplier
American Samoa,0,0,0,0,0,0
Anguilla,0,0,0,0,0,0
Antarctica,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0
British Indian Ocean Territory,0,0,0,0,0,0
Cabo Verde,0,0,0,677.3511026928329,0,0
Cook Islands,0,0,0,0,0,0
Dominica,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0
Federated States of Micronesia,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0
French Southern and Antarctic Lands,0,0,0,0,0,0
Greenland,0,0,0,0,0,0
Grenada,0,0,0,53674.169036360516,0,0
Guam,0,0,0,0,0,0
Heard Island and McDonald Islands,0,0,0,0,0,0
Isle of Man,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0
Maldives,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0
Mauritius,0,0,0,907613.7825903049,0,0
Montserrat,0,0,0,0,0,0
NOR,0,0,0,0,0,0
Niue,0,0,0,0,0,0
Norfolk Island,0,0,0,2152.092730218544,0,0
Northern Mariana Islands,0,0,0,0,0,0
Pitcairn Islands,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,9892.686352930043,0,0
Saint Lucia,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0
Samoa,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0
South Georgia and the Islands,0,0,0,0,0,0
Tonga,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,24316.391626321212,0,0
Vanuatu,0,0,0,1656.8288406736383,0,0
Wallis and Futuna,0,0,0,0,0,0
Falkland Islands,283.9999999701977,218.99999997019768,271.9999999925494,0.4279136313289616,271.9999999925494,635.642288720285
British Virgin Islands,433.1196087896824,0,433.1196087896824,0,433.1196087896824,433.1196087896824
Liechtenstein,2498.512226894498,1937.6431599929929,2497.2830984145403,0,2497.2830984145403,2497.2830984145403
Palau,19033.125306753907,18337.732231813017,18883.196483521257,0,18883.196483521257,18883.196483521257
United States Virgin Islands,27066.32573146373,25476.461777694523,27066.32573146373,26633.87664849533,27066.32573146373,1.0162368058047169
Aruba,70285.9678153852,68615.73267686367,70285.9678153852,60446.96930992037,70285.9678153852,1.1627707495973678
Andorra,73827.31848417968,73827.31848417968,73825.02357652783,4592.010579180365,73825.02357652783,16.076840918277014
Jersey,90073.99211952835,89127.2933928743,90073.99211952835,0,90073.99211952835,90073.99211952835
Cura̤ao,137477.45028963313,131585.5659583658,137477.45028963313,111311.31176470507,137477.45028963313,1.2350716931648351
Barbados,156743.7362456657,153982.4405765254,156743.7362456657,99410.07397635939,156743.7362456657,1.576738955882286
Ṣo Tom̩ and Principe,184855.98918253183,34259.82501734793,184836.98918253183,179252.19050120848,184836.98918253183,1.031156097259998
The Bahamas,229815.99725449272,170946.73864635825,229421.58988669698,151064.26735896713,229421.58988669698,1.5187019001755915
Solomon Islands,303915.52337117644,298330.4330754556,235999.57134456595,57412.67067691885,235999.57134456595,4.110583405405715
New Caledonia,250861.98753898463,188395.03767776687,249901.0623238763,29459.407147524053,249901.0623238763,8.482895160532092
Malta,251516.70947615057,221323.39120398465,251516.70947615057,216973.06931879756,251516.70947615057,1.1592070401446837
Iceland,268699.9998497302,23162.86555014318,268699.9998497302,18489.83072227552,268699.9998497302,14.5323125931064
Belize,366972.3969267228,355882.98077665956,365546.8843849891,247760.7775612495,365546.8843849891,1.4754025555744852
Comoros,401979.9736254509,372330.0372014041,366349.29906642437,144101.24666393542,366349.29906642437,2.542304855424346
Brunei,389611.1314832531,382978.128769625,387260.92287569866,13252.752148020098,387260.92287569866,29.221169954012435
Moroco,457756.0362838637,452125.8357411456,456722.4249077644,84564.1108309363,456722.4249077644,5.4009014039166185
Montenegro,553802.5166745023,480544.85910127417,551966.1636754968,116376.41791357726,551966.1636754968,4.742938247896533
Suriname,640815.5267779634,631481.2520478609,632582.5060934946,574489.7436223391,632582.5060934946,1.1011206259399207
Guyana,673106.9573026286,656295.5815540464,645032.7226901865,600147.174635748,645032.7226901865,1.0747909012179906
Luxembourg,661577.7833454488,436479.96589146834,661577.7833454488,142540.67823977154,661577.7833454488,4.641326192040358
Djibouti,728934.9707751673,719301.9331054053,723115.6987115326,649201.0238517384,723115.6987115326,1.1138548340870678
Bhutan,878934.9403643659,813279.277262175,745220.5538773728,159036.2406217568,745220.5538773728,4.685853683185112
East Timor,921544.5983338346,720581.7591368853,865790.1135246875,156302.06835948996,865790.1135246875,5.539210853777039
Bahrain,893772.0571725573,880142.2947570365,893772.0571725573,650569.5986046729,893772.0571725573,1.3738300392294684
Cyprus,1129817.5911888534,939754.3836662745,1120214.9045168585,40307.85946817165,1120214.9045168585,27.79147588825488
Estonia,1129583.3460608036,1110693.4895759472,1129156.4048930318,849257.4990289577,1129156.4048930318,1.3295807292654007
eSwatini,1203516.1552384396,1157650.0958180923,1195101.6149670512,892437.399858855,1195101.6149670512,1.3391433563363264
Trinidad and Tobago,1273351.272052995,1011801.1351321442,1272811.2720524808,638747.4601476286,1272811.2720524808,1.99266744913288
Equatorial Guinea,1447454.2346742754,1326447.9718326065,1436433.7239730028,1251028.2720665755,1436433.7239730028,1.1482024475755097
Guinea-Bissau,1716467.9676058933,1455329.0360294054,1675961.168975363,538916.0700687405,1675961.168975363,3.1098741753267602
Latvia,1773611.5853180133,1670539.285913385,1773287.284306004,1139956.836745443,1773287.284306004,1.555574059600983
Qatar,1950646.1518784,1933616.871383777,1950195.196616648,1661814.491934317,1950195.196616648,1.1735336321123677
Botswana,2042379.7234032603,1431209.9117490067,1980360.6480512877,561552.375971959,1980360.6480512877,3.5265822615808444
